Fecha,FuenteIngreso,cantidad
31/12/19                      ,MovilGZ                                                                                             ,          2
31/12/19                      ,MovilSE                                                                                             ,         28
31/12/19                      ,UB                                                                                                  ,          3
31/12/18                      ,MovilGZ                                                                                             ,          2
31/12/18                      ,MovilSE                                                                                             ,         20
31/12/18                      ,UB                                                                                                  ,          8
31/10/20                      ,MovilGZ                                                                                             ,         12
31/10/20                      ,MovilSE                                                                                             ,        107
31/10/20                      ,PortalGZ                                                                                            ,          3
31/10/20                      ,UB                                                                                                  ,         36
31/10/19                      ,CALL CENTER                                                                                         ,          1
31/10/19                      ,MovilGZ                                                                                             ,         11
31/10/19                      ,MovilSE                                                                                             ,        324
31/10/19                      ,PortalGZ                                                                                            ,          1
31/10/19                      ,UB                                                                                                  ,         16
31/10/18                      ,CALL CENTER                                                                                         ,          3
31/10/18                      ,MovilSE                                                                                             ,        383
31/10/18                      ,MovilGZ                                                                                             ,          9
31/10/18                      ,PortalGZ                                                                                            ,          1
31/10/18                      ,UB                                                                                                  ,         46
31/08/20                      ,UB                                                                                                  ,        126
31/08/20                      ,MovilGZ                                                                                             ,         71
31/08/20                      ,MovilSE                                                                                             ,        631
31/08/20                      ,PortalGZ                                                                                            ,          3
31/08/19                      ,MovilSE                                                                                             ,         30
31/08/19                      ,UB                                                                                                  ,          3
31/08/18                      ,MovilGZ                                                                                             ,         10
31/08/18                      ,MovilSE                                                                                             ,        465
31/08/18                      ,PortalGZ                                                                                            ,          4
31/08/18                      ,UB                                                                                                  ,         46
31/07/20                      ,MovilGZ                                                                                             ,         39
31/07/20                      ,MovilSE                                                                                             ,        334
31/07/20                      ,PortalGZ                                                                                            ,          1
31/07/20                      ,UB                                                                                                  ,         57
31/07/19                      ,MovilSE                                                                                             ,        600
31/07/19                      ,UB                                                                                                  ,         49
31/07/19                      ,CALL CENTER                                                                                         ,          1
31/07/19                      ,MovilGZ                                                                                             ,         27
31/07/19                      ,PortalGZ                                                                                            ,          3
31/07/18                      ,MovilSE                                                                                             ,        511
31/07/18                      ,UB                                                                                                  ,         56
31/07/18                      ,MovilGZ                                                                                             ,         13
31/07/18                      ,PortalGZ                                                                                            ,          7
31/05/20                      ,PortalGZ                                                                                            ,          1
31/05/20                      ,UB                                                                                                  ,         53
31/05/20                      ,MovilGZ                                                                                             ,          2
31/05/20                      ,MovilSE                                                                                             ,         31
31/05/19                      ,MovilGZ                                                                                             ,         21
31/05/19                      ,MovilSE                                                                                             ,        378
31/05/19                      ,PortalGZ                                                                                            ,          3
31/05/19                      ,UB                                                                                                  ,         42
31/05/18                      ,MovilGZ                                                                                             ,          6
31/05/18                      ,PortalGZ                                                                                            ,         16
31/05/18                      ,UB                                                                                                  ,         26
31/05/18                      ,CALL CENTER                                                                                         ,          3
31/05/18                      ,MovilSE                                                                                             ,        478
31/03/20                      ,MovilGZ                                                                                             ,          2
31/03/20                      ,MovilSE                                                                                             ,         45
31/03/20                      ,UB                                                                                                  ,         28
31/03/20                      ,PortalGZ                                                                                            ,          3
31/03/19                      ,MovilSE                                                                                             ,         30
31/03/19                      ,UB                                                                                                  ,          6
31/03/18                      ,UB                                                                                                  ,          2
31/03/18                      ,MovilSE                                                                                             ,         47
31/03/18                      ,PortalGZ                                                                                            ,          1
31/01/20                      ,CALL CENTER                                                                                         ,          2
31/01/20                      ,MovilSE                                                                                             ,        395
31/01/20                      ,PortalGZ                                                                                            ,          1
31/01/20                      ,PortalGZ                                                                                            ,          4
31/01/20                      ,UB                                                                                                  ,         29
31/01/20                      ,MovilGZ                                                                                             ,         19
31/01/19                      ,PortalGZ                                                                                            ,          3
31/01/19                      ,UB                                                                                                  ,         36
31/01/19                      ,CALL CENTER                                                                                         ,          3
31/01/19                      ,MovilGZ                                                                                             ,         11
31/01/19                      ,MovilSE                                                                                             ,        452
31/01/19                      ,UB                                                                                                  ,          3
31/01/18                      ,UB                                                                                                  ,         63
31/01/18                      ,MovilSE                                                                                             ,        688
31/01/18                      ,PortalGZ                                                                                            ,         16
30/12/19                      ,MovilGZ                                                                                             ,         14
30/12/19                      ,MovilSE                                                                                             ,        504
30/12/19                      ,PortalGZ                                                                                            ,          1
30/12/19                      ,UB                                                                                                  ,         22
30/12/18                      ,MovilGZ                                                                                             ,          1
30/12/18                      ,UB                                                                                                  ,          5
30/12/18                      ,MovilSE                                                                                             ,         16
30/11/20                      ,MovilGZ                                                                                             ,         12
30/11/20                      ,UB                                                                                                  ,         45
30/11/20                      ,MovilSE                                                                                             ,        239
30/11/19                      ,CALL CENTER                                                                                         ,          1
30/11/19                      ,MovilGZ                                                                                             ,          1
30/11/19                      ,MovilSE                                                                                             ,         71
30/11/19                      ,UB                                                                                                  ,          8
30/11/18                      ,MovilGZ                                                                                             ,          4
30/11/18                      ,MovilSE                                                                                             ,        271
30/11/18                      ,UB                                                                                                  ,         38
30/11/18                      ,PortalGZ                                                                                            ,          2
30/10/20                      ,MovilGZ                                                                                             ,         26
30/10/20                      ,MovilSE                                                                                             ,          1
30/10/20                      ,PortalGZ                                                                                            ,          1
30/10/20                      ,MovilSE                                                                                             ,        405
30/10/20                      ,UB                                                                                                  ,         66
30/10/19                      ,PortalGZ                                                                                            ,          4
30/10/19                      ,CALL CENTER                                                                                         ,          2
30/10/19                      ,MovilGZ                                                                                             ,         22
30/10/19                      ,MovilSE                                                                                             ,        454
30/10/19                      ,UB                                                                                                  ,          2
30/10/19                      ,UB                                                                                                  ,         26
30/10/18                      ,CALL CENTER                                                                                         ,          3
30/10/18                      ,MovilGZ                                                                                             ,          9
30/10/18                      ,MovilSE                                                                                             ,        468
30/10/18                      ,PortalGZ                                                                                            ,          3
30/10/18                      ,UB                                                                                                  ,         54
30/09/20                      ,PortalGZ                                                                                            ,          4
30/09/20                      ,MovilGZ                                                                                             ,         35
30/09/20                      ,MovilSE                                                                                             ,        347
30/09/20                      ,UB                                                                                                  ,         82
30/09/19                      ,CALL CENTER                                                                                         ,          1
30/09/19                      ,MovilGZ                                                                                             ,         19
30/09/19                      ,MovilSE                                                                                             ,        512
30/09/19                      ,PortalGZ                                                                                            ,          4
30/09/19                      ,UB                                                                                                  ,          1
30/09/19                      ,UB                                                                                                  ,         28
30/09/18                      ,UB                                                                                                  ,         10
30/09/18                      ,MovilSE                                                                                             ,         29
30/08/20                      ,MovilGZ                                                                                             ,         17
30/08/20                      ,MovilSE                                                                                             ,         82
30/08/20                      ,UB                                                                                                  ,        218
30/08/19                      ,MovilSE                                                                                             ,         55
30/08/19                      ,UB                                                                                                  ,          6
30/08/18                      ,MovilSE                                                                                             ,         58
30/08/18                      ,MovilGZ                                                                                             ,          2
30/08/18                      ,UB                                                                                                  ,         17
30/07/20                      ,MovilSE                                                                                             ,        297
30/07/20                      ,PortalGZ                                                                                            ,          1
30/07/20                      ,UB                                                                                                  ,        162
30/07/20                      ,MovilGZ                                                                                             ,         19
30/07/19                      ,CALL CENTER                                                                                         ,          3
30/07/19                      ,MovilSE                                                                                             ,        573
30/07/19                      ,MovilGZ                                                                                             ,         17
30/07/19                      ,PortalGZ                                                                                            ,         11
30/07/19                      ,UB                                                                                                  ,         40
30/07/18                      ,MovilGZ                                                                                             ,         13
30/07/18                      ,MovilSE                                                                                             ,        537
30/07/18                      ,PortalGZ                                                                                            ,          6
30/07/18                      ,UB                                                                                                  ,         53
30/06/20                      ,PortalGZ                                                                                            ,          6
30/06/20                      ,UB                                                                                                  ,        184
30/06/20                      ,MovilGZ                                                                                             ,         51
30/06/20                      ,MovilSE                                                                                             ,        406
30/06/19                      ,UB                                                                                                  ,          3
30/06/19                      ,MovilGZ                                                                                             ,          3
30/06/19                      ,MovilSE                                                                                             ,         27
30/06/18                      ,MovilSE                                                                                             ,         41
30/06/18                      ,UB                                                                                                  ,         11
30/05/20                      ,MovilGZ                                                                                             ,          8
30/05/20                      ,MovilSE                                                                                             ,         44
30/05/20                      ,PortalGZ                                                                                            ,          3
30/05/20                      ,UB                                                                                                  ,         67
30/05/19                      ,MovilSE                                                                                             ,        567
30/05/19                      ,PortalGZ                                                                                            ,         12
30/05/19                      ,CALL CENTER                                                                                         ,          3
30/05/19                      ,MovilGZ                                                                                             ,         32
30/05/19                      ,UB                                                                                                  ,          1
30/05/19                      ,UB                                                                                                  ,         56
30/05/18                      ,MovilSE                                                                                             ,        526
30/05/18                      ,MovilGZ                                                                                             ,          7
30/05/18                      ,PortalGZ                                                                                            ,         20
30/05/18                      ,UB                                                                                                  ,         33
30/04/20                      ,MovilGZ                                                                                             ,          1
30/04/20                      ,UB                                                                                                  ,         31
30/04/20                      ,MovilSE                                                                                             ,         25
30/04/19                      ,MovilSE                                                                                             ,        538
30/04/19                      ,CALL CENTER                                                                                         ,          3
30/04/19                      ,MovilGZ                                                                                             ,         19
30/04/19                      ,PortalGZ                                                                                            ,          3
30/04/19                      ,UB                                                                                                  ,         33
30/04/18                      ,PortalGZ                                                                                            ,         13
30/04/18                      ,MovilSE                                                                                             ,        595
30/04/18                      ,UB                                                                                                  ,         57
30/03/20                      ,MovilSE                                                                                             ,         39
30/03/20                      ,PortalGZ                                                                                            ,          1
30/03/20                      ,MovilGZ                                                                                             ,          2
30/03/20                      ,UB                                                                                                  ,         13
30/03/19                      ,MovilGZ                                                                                             ,          4
30/03/19                      ,MovilSE                                                                                             ,         71
30/03/19                      ,UB                                                                                                  ,         14
30/03/18                      ,MovilSE                                                                                             ,         20
30/03/18                      ,PortalGZ                                                                                            ,          1
30/03/18                      ,UB                                                                                                  ,          1
30/01/20                      ,MovilGZ                                                                                             ,         27
30/01/20                      ,MovilSE                                                                                             ,        427
30/01/20                      ,UB                                                                                                  ,         42
30/01/20                      ,MovilSE                                                                                             ,          1
30/01/20                      ,PortalGZ                                                                                            ,          6
30/01/19                      ,CALL CENTER                                                                                         ,          2
30/01/19                      ,MovilGZ                                                                                             ,         22
30/01/19                      ,UB                                                                                                  ,          5
30/01/19                      ,MovilSE                                                                                             ,          1
30/01/19                      ,MovilSE                                                                                             ,        452
30/01/19                      ,PortalGZ                                                                                            ,          6
30/01/19                      ,UB                                                                                                  ,         35
30/01/18                      ,MovilSE                                                                                             ,        554
30/01/18                      ,PortalGZ                                                                                            ,         12
30/01/18                      ,UB                                                                                                  ,         49
29/12/19                      ,UB                                                                                                  ,          2
29/12/19                      ,MovilSE                                                                                             ,         15
29/12/18                      ,MovilGZ                                                                                             ,          2
29/12/18                      ,UB                                                                                                  ,         14
29/12/18                      ,MovilSE                                                                                             ,        193
29/11/20                      ,MovilSE                                                                                             ,         42
29/11/20                      ,MovilGZ                                                                                             ,          2
29/11/20                      ,UB                                                                                                  ,         32
29/11/19                      ,CALL CENTER                                                                                         ,          2
29/11/19                      ,MovilGZ                                                                                             ,         15
29/11/19                      ,UB                                                                                                  ,         34
29/11/19                      ,MovilSE                                                                                             ,        269
29/11/19                      ,PortalGZ                                                                                            ,          1
29/11/18                      ,MovilGZ                                                                                             ,         13
29/11/18                      ,PortalGZ                                                                                            ,          2
29/11/18                      ,MovilSE                                                                                             ,        338
29/11/18                      ,UB                                                                                                  ,         48
29/10/20                      ,MovilGZ                                                                                             ,         42
29/10/20                      ,MovilSE                                                                                             ,        475
29/10/20                      ,UB                                                                                                  ,        126
29/10/20                      ,PortalGZ                                                                                            ,          1
29/10/19                      ,MovilGZ                                                                                             ,         17
29/10/19                      ,CALL CENTER                                                                                         ,          2
29/10/19                      ,MovilSE                                                                                             ,        407
29/10/19                      ,UB                                                                                                  ,         28
29/10/18                      ,MovilSE                                                                                             ,        613
29/10/18                      ,PortalGZ                                                                                            ,          1
29/10/18                      ,CALL CENTER                                                                                         ,          2
29/10/18                      ,MovilGZ                                                                                             ,         11
29/10/18                      ,UB                                                                                                  ,         69
29/09/20                      ,MovilSE                                                                                             ,        310
29/09/20                      ,UB                                                                                                  ,         93
29/09/20                      ,MovilGZ                                                                                             ,         43
29/09/20                      ,PortalGZ                                                                                            ,          2
29/09/19                      ,MovilGZ                                                                                             ,          3
29/09/19                      ,MovilSE                                                                                             ,         22
29/09/19                      ,UB                                                                                                  ,          4
29/09/18                      ,UB                                                                                                  ,          7
29/09/18                      ,MovilGZ                                                                                             ,          1
29/09/18                      ,MovilSE                                                                                             ,         40
29/08/20                      ,UB                                                                                                  ,         76
29/08/20                      ,MovilGZ                                                                                             ,         23
29/08/20                      ,MovilSE                                                                                             ,        144
29/08/19                      ,CALL CENTER                                                                                         ,          1
29/08/19                      ,UB                                                                                                  ,         17
29/08/19                      ,MovilGZ                                                                                             ,         20
29/08/19                      ,MovilSE                                                                                             ,        408
29/08/19                      ,PortalGZ                                                                                            ,          3
29/08/18                      ,MovilSE                                                                                             ,        400
29/08/18                      ,CALL CENTER                                                                                         ,          1
29/08/18                      ,MovilGZ                                                                                             ,         16
29/08/18                      ,PortalGZ                                                                                            ,          2
29/08/18                      ,UB                                                                                                  ,         39
29/07/20                      ,MovilGZ                                                                                             ,         33
29/07/20                      ,MovilSE                                                                                             ,        352
29/07/20                      ,UB                                                                                                  ,        119
29/07/19                      ,CALL CENTER                                                                                         ,          1
29/07/19                      ,MovilSE                                                                                             ,        104
29/07/19                      ,UB                                                                                                  ,          7
29/07/18                      ,MovilSE                                                                                             ,        153
29/07/18                      ,UB                                                                                                  ,         10
29/06/20                      ,UB                                                                                                  ,         75
29/06/20                      ,MovilGZ                                                                                             ,         12
29/06/20                      ,MovilSE                                                                                             ,         91
29/06/19                      ,MovilGZ                                                                                             ,          1
29/06/19                      ,MovilSE                                                                                             ,         33
29/06/19                      ,CALL CENTER                                                                                         ,          2
29/06/19                      ,UB                                                                                                  ,          2
29/06/18                      ,MovilSE                                                                                             ,         39
29/06/18                      ,UB                                                                                                  ,         13
29/05/20                      ,MovilGZ                                                                                             ,         16
29/05/20                      ,MovilSE                                                                                             ,         86
29/05/20                      ,UB                                                                                                  ,         89
29/05/19                      ,PortalGZ                                                                                            ,          1
29/05/19                      ,CALL CENTER                                                                                         ,          1
29/05/19                      ,MovilGZ                                                                                             ,         27
29/05/19                      ,MovilSE                                                                                             ,        561
29/05/19                      ,UB                                                                                                  ,         55
29/05/18                      ,CALL CENTER                                                                                         ,          2
29/05/18                      ,UB                                                                                                  ,         32
29/05/18                      ,MovilGZ                                                                                             ,          3
29/05/18                      ,MovilSE                                                                                             ,        488
29/05/18                      ,PortalGZ                                                                                            ,         15
29/04/20                      ,MovilSE                                                                                             ,         23
29/04/20                      ,UB                                                                                                  ,         57
29/04/20                      ,MovilGZ                                                                                             ,          2
29/04/19                      ,MovilSE                                                                                             ,        749
29/04/19                      ,PortalGZ                                                                                            ,          8
29/04/19                      ,CALL CENTER                                                                                         ,          2
29/04/19                      ,MovilGZ                                                                                             ,         27
29/04/19                      ,MovilSE                                                                                             ,          1
29/04/19                      ,UB                                                                                                  ,         73
29/04/18                      ,UB                                                                                                  ,         15
29/04/18                      ,MovilSE                                                                                             ,         96
29/04/18                      ,PortalGZ                                                                                            ,          1
29/03/20                      ,MovilSE                                                                                             ,          5
29/03/20                      ,UB                                                                                                  ,          4
29/03/19                      ,MovilSE                                                                                             ,        323
29/03/19                      ,PortalGZ                                                                                            ,          4
29/03/19                      ,MovilGZ                                                                                             ,         10
29/03/19                      ,UB                                                                                                  ,         35
29/03/18                      ,MovilSE                                                                                             ,         59
29/03/18                      ,UB                                                                                                  ,          5
29/03/18                      ,PortalGZ                                                                                            ,          1
29/02/20                      ,MovilGZ                                                                                             ,          3
29/02/20                      ,MovilSE                                                                                             ,         50
29/02/20                      ,UB                                                                                                  ,          3
